timestamp, temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], power.draw [W]
2026/07/20 13:56:49.609, 69, 960 MHz, 0 %, 11.81 W
2026/07/20 13:56:50.615, 69, 960 MHz, 0 %, 11.75 W
2026/07/20 13:56:51.621, 69, 960 MHz, 0 %, 11.65 W
2026/07/20 13:56:52.627, 69, 960 MHz, 0 %, 11.71 W
2026/07/20 13:56:53.633, 69, 960 MHz, 0 %, 11.73 W
2026/07/20 13:56:54.639, 69, 960 MHz, 0 %, 11.70 W
2026/07/20 13:56:55.644, 69, 960 MHz, 0 %, 11.69 W
2026/07/20 13:56:56.650, 69, 960 MHz, 0 %, 11.73 W
2026/07/20 13:56:57.656, 69, 960 MHz, 0 %, 14.71 W
2026/07/20 13:56:58.668, 70, 1020 MHz, 13 %, 25.87 W
2026/07/20 13:56:59.674, 70, 1020 MHz, 7 %, 26.00 W
2026/07/20 13:57:00.678, 69, 960 MHz, 0 %, 11.83 W
2026/07/20 13:57:01.684, 70, 975 MHz, 0 %, 25.88 W
2026/07/20 13:57:02.689, 70, 975 MHz, 2 %, 26.09 W
2026/07/20 13:57:03.692, 70, 975 MHz, 0 %, 26.10 W
2026/07/20 13:57:04.697, 71, 975 MHz, 0 %, 26.11 W
2026/07/20 13:57:05.701, 71, 975 MHz, 0 %, 26.23 W
2026/07/20 13:57:06.705, 71, 975 MHz, 0 %, 26.09 W
2026/07/20 13:57:07.709, 71, 960 MHz, 0 %, 15.81 W
2026/07/20 13:57:08.715, 70, 960 MHz, 0 %, 12.08 W
2026/07/20 13:57:09.720, 70, 960 MHz, 0 %, 12.07 W
2026/07/20 13:57:10.726, 70, 960 MHz, 0 %, 12.10 W
2026/07/20 13:57:11.733, 70, 960 MHz, 0 %, 11.98 W
2026/07/20 13:57:12.738, 70, 960 MHz, 0 %, 12.00 W
2026/07/20 13:57:13.744, 70, 960 MHz, 0 %, 12.01 W
